"Tag","Name","# lines","Ver.","Catalog","Documentation","Date of entry","Entry in cm-1"
"003501","HD","20","2*","HTML | ASCII","e003501.cat","Dec. 2011","w003501.cat"
"004501","H2D+","196","3*","HTML | ASCII","e004501.cat","Mar. 2017","w004501.cat"
"005501","HD2+","163","3*","HTML | ASCII","e005501.cat","Jan. 2018","w005501.cat"
"005502","HeH+","18","1*","HTML | ASCII","e005502.cat","April 2008","w005502.cat"
"012501","C","2","1*","HTML | ASCII","e012501.cat","Sep. 2005","w012501.cat"
"012502","BH","15","1*","HTML | ASCII","e012502.cat","July 2008","w012502.cat"
"012503","C+","1","1*","HTML | ASCII","e012503.cat","Aug. 2010","w012503.cat"
"013501","13C","7","1*","HTML | ASCII","e013501.cat","Sep. 2005","w013501.cat"
"013502","CH","513","3*","HTML | ASCII","e013502.cat","June 2015","w013502.cat"
"013503","CH+","19","2*","HTML | ASCII","e013503.cat","Apr. 2010","w013503.cat"
"013504","CH+, v = 1 - 0 band","35","1*","HTML | ASCII","e013504.cat","May 2010","w013504.cat"
"013505","CH+, v = 2 - 0 band","27","1*","HTML | ASCII","e013505.cat","May 2010","w013505.cat"
"013506","13C+","3","1*","HTML | ASCII","e013506.cat","Aug. 2010","w013506.cat"
"014501","CH2","1400","1*","HTML | ASCII","e014501.cat","Sep. 2005","w014501.cat"
"014502","13CH+","18","1*","HTML | ASCII","e014502.cat","Apr. 2010","w014502.cat"
"014503","CD+","22","1*","HTML | ASCII","e014503.cat","Apr. 2010","w014503.cat"
"014504","13CH+, v = 1 - 0 band","31","1*","HTML | ASCII","e014504.cat","May 2010","w014504.cat"
"014505","CD+, v = 1 - 0 band","33","1*","HTML | ASCII","e014505.cat","May 2010","w014505.cat"
"014506","N+","9","1*","HTML | ASCII","e014506.cat","Aug. 2010","w014506.cat"
"015501","NH","1948","1","HTML | ASCII","e015501.cat","May 2004","w015501.cat"
"015502","13CD+","21","1*","HTML | ASCII","e015502.cat","Apr. 2010","w015502.cat"
"015503","14CH+","13","1*","HTML | ASCII","e015503.cat","Apr. 2010","w015503.cat"
"015504","CT+","17","1*","HTML | ASCII","e015504.cat","Apr. 2010","w015504.cat"
"016501","NH2","18513","2","HTML | ASCII","e016501.cat","Oct. 2001","w016501.cat"
"016502","ND","2020","1","HTML | ASCII","e016502.cat","Feb. 2004","w016502.cat"
"016503","CH2D+","379","4*","HTML | ASCII","e016503.cat","Sep. 2016","w016503.cat"
"016504","O","2","1*","HTML | ASCII","e016504.cat","Aug. 2010","w016504.cat"
"016505","15NH","334","1*","HTML | ASCII","e016505.cat","Aug. 2018",""
"017501","OH+","430","2*","HTML | ASCII","e017501.cat","Jan. 2016","w017501.cat"
"017502","OH-","19","2*","HTML | ASCII","e017502.cat","Sep. 2014","w017502.cat"
"017503","CH3D","211","3*","HTML | ASCII","e017503.cat","Aug. 2018",""
"017504","15NH2","2437","1*","HTML | ASCII","e017504.cat","May 2016","w017504.cat"
"017505","CHD2+","593","1*","HTML | ASCII","e017505.cat","Feb. 2018","w017505.cat"
"017506","NH3, v = 0","346","1*","HTML | ASCII","e017506.cat","Dec. 2020",""
"017507","OH, v = 0","1028","1*","HTML | ASCII","e017507.cat","Feb. 2023",""
"017508","OH, v = 1","831","1*","HTML | ASCII","e017508.cat","Feb. 2023",""
"017509","OH, v = 2","722","1*","HTML | ASCII","e017509.cat","Feb. 2023",""
"018501","NH2D","3343","1","HTML | ASCII","e018501.cat","May 2004","w018501.cat"
"018502","OD-","22","1*","HTML | ASCII","e018502.cat","Dec. 2006","w018502.cat"
"018503","15NH3","607","2*","HTML | ASCII","e018503.cat","Nov 2011","w018503.cat"
"018504","13CH3D","84","1*","HTML | ASCII","e018504.cat","June 2009","w018504.cat"
"018505","H2O+","2892","2*","HTML | ASCII","e018505.cat","Feb. 2017","w018505.cat"
"018506","OD+","99","1*","HTML | ASCII","e018506.cat","May. 2012","w018506.cat"
"018507","18O","2","1*","HTML | ASCII","e018507.cat","May 2020",""
"019501","NHD2","5000","3*","HTML | ASCII","e019501.cat","May 2011","w019501.cat"
"019502","18OH-","16","1*","HTML | ASCII","e019502.cat","Dec. 2006","w019502.cat"
"019503","H3O+","273","1*","HTML | ASCII","e019503.cat","Oct. 2007","w019503.cat"
"019504","15NH2D","2916","1*","HTML | ASCII","e019504.cat","Sep. 2008","w019504.cat"
"019505","18OH+","75","1*","HTML | ASCII","e019505.cat","May. 2012","w019505.cat"
"019506","NH3D+","55","1*","HTML | ASCII","e019506.cat","Sep. 2013","w019506.cat"
"020501","ND3","698","1","HTML | ASCII","e020501.cat","June 2002","w020501.cat"
"020502","D2O","3289","2*","HTML | ASCII","e020502.cat","May 2011","w020502.cat"
"020503","H2DO+","130","2*","HTML | ASCII","e020503.cat","June 2010","w020503.cat"
"020504","15NHD2","2890","1*","HTML | ASCII","e020504.cat","Sep. 2008","w020504.cat"
"021501","NeH+","23","1*","HTML | ASCII","e021501.cat","Dec. 2007","w021501.cat"
"021502","H2F+","170","1*","HTML | ASCII","e021502.cat","Nov. 2012","w021502.cat"
"022501","NeD+","28","1*","HTML | ASCII","e022501.cat","Dec. 2007","w022501.cat"
"023501","22NeH+","21","1*","HTML | ASCII","e023501.cat","Dec. 2007","w023501.cat"
"024501","NaH","172","1","HTML | ASCII","e024501.cat","Jan. 2001","w024501.cat"
"024502","LiOH","43","1*","HTML | ASCII","e024502.cat","Sep. 2009",""
"025501","CCH, v = 0","363","3*","HTML | ASCII","e025501.cat","July 2010",""
"025502","MgH","96","1","HTML | ASCII","e025502.cat","May  2001","w025502.cat"
"025503","CCH, v2 = 1","688","2*","HTML | ASCII","e025503.cat","July 2010",""
"025504","C2H-","37","2*","HTML | ASCII","e025504.cat","Jan. 2009",""
"025505","CCH, v2 = 2","749","1*","HTML | ASCII","e025505.cat","July 2010",""
"025506","CCH, v3 = 1","243","1*","HTML | ASCII","e025506.cat","July 2010",""
"025507","CCH, ν2 FIR band","298","1*","HTML | ASCII","e025507.cat","July 2010","w025507.cat"
"025508","CCH, ν3 IR band","201","1*","HTML | ASCII","e025508.cat","July 2010","w025508.cat"
"025509","CCH, ν2 + ν3 IR band","214","1*","HTML | ASCII","e025509.cat","July 2010","w025509.cat"
"025510","CCH, 5ν2 IR band","146","1*","HTML | ASCII","e025510.cat","July 2010","w025510.cat"
"026501","CCD","238","2*","HTML | ASCII","e026501.cat","Oct. 2021",""
"026502","13CCH","256","1","HTML | ASCII","e026502.cat","May 2000",""
"026503","C13CH","247","2*","HTML | ASCII","e026503.cat","Jan. 2010",""
"026504","CN, v = 0, 1","646","1*","HTML | ASCII","e026504.cat","May. 2005",""
"026505","C2H2, ν5 - ν4","273","1*","HTML | ASCII","e026505.cat","May 2007","w026505.cat"
"026506","CN-","28","2*","HTML | ASCII","e026506.cat","Jan. 2009",""
"026507","10BO","822","1*","HTML | ASCII","e026507.cat","Aug. 2009",""
"026508","CN+, v = 0","32","1*","HTML | ASCII","e026508.cat","Oct. 2023",""
"026509","CN+, v = 1 - 0","61","1*","HTML | ASCII","e026509.cat","Oct. 2023",""
"027501","HCN, v = 0","90","4*","HTML | ASCII","e027501.cat","May 2007","w027501.cat"
"027502","HNC, v = 0","47","2*","HTML | ASCII","e027502.cat","Feb. 2005","w027502.cat"
"027503","HCN, v2 = 1","204","2*","HTML | ASCII","e027503.cat","Feb. 2007","w027503.cat"
"027504","HNC, v2 = 1","127","1*","HTML | ASCII","e027504.cat","Feb. 2005","w027504.cat"
"027505","13CN","1471","1*","HTML | ASCII","e027505.cat","May. 2005",""
"027506","C15N","294","1*","HTML | ASCII","e027506.cat","May. 2005",""
"027507","HCN, v2 = 2","137","1*","HTML | ASCII","e027507.cat","Feb. 2007","w027507.cat"
"027508","HCN, v2 = 3","210","1*","HTML | ASCII","e027508.cat","Feb. 2007","w027508.cat"
"027509","HCN, v3 = 1","48","1*","HTML | ASCII","e027509.cat","Feb. 2007","w027509.cat"
"027510","HCN, v1 = 1","48","1*","HTML | ASCII","e027510.cat","Feb. 2007","w027510.cat"
"027511","HCCD","40","1*","HTML | ASCII","e027511.cat","Jan. 2008","w027511.cat"
"027512","H10BO","42","1*","HTML | ASCII","e027512.cat","July 2009",""
"027513","BO","468","1*","HTML | ASCII","e027513.cat","Aug. 2009",""
"027514","C2H3+","219","1*","HTML | ASCII","e027514.cat","Oct. 2009",""
"027515","Al","6","1*","HTML | ASCII","e027515.cat","Aug. 2010","w027515.cat"
"028501","H13CN, v = 0","89","3*","HTML | ASCII","e028501.cat","Nov 2014","w028501.cat"
"028502","H2CN","6519","1","HTML | ASCII","e028502.cat","July 2000",""
"028503","CO, v = 0","95","1","HTML | ASCII","e028503.cat","Oct. 2000","w028503.cat"
"028504","HCNH+","34","3*","HTML | ASCII","e028504.cat","Feb. 2024",""
"028505","13C15N","818","1*","HTML | ASCII","e028505.cat","May. 2005",""
"028506","HC15N, v = 0","79","2*","HTML | ASCII","e028506.cat","Dec. 2017","w028506.cat"
"028507","HC15N, v2 = 1","214","2*","HTML | ASCII","e028507.cat","Dec. 2017","w028507.cat"
"028508","DNC","39","2*","HTML | ASCII","e028508.cat","Sep. 2009","w028508.cat"
"028509","DCN, v = 0","64","1*","HTML | ASCII","e028509.cat","Apr. 2006","w028509.cat"
"028510","DCN, v2 = 1","164","1*","HTML | ASCII","e028510.cat","Apr. 2006","w028510.cat"
