"Tag","Name","# lines","Ver.","Date of entry"
"003501","HD","20","2*","Dec. 2011"
"004501","H2D+","196","3*","Mar. 2017"
"005501","HD2+","163","3*","Jan. 2018"
"005502","HeH+","18","1*","April 2008"
"012501","C","2","1*","Sep. 2005"
"012502","BH","15","1*","July 2008"
"012503","C+","1","1*","Aug. 2010"
"013501","13C","7","1*","Sep. 2005"
"013502","CH","513","3*","June 2015"
"013503","CH+","19","2*","Apr. 2010"
"013504","CH+, v = 1 - 0 band","35","1*","May 2010"
"013505","CH+, v = 2 - 0 band","27","1*","May 2010"
"013506","13C+","3","1*","Aug. 2010"
"014501","CH2","1400","1*","Sep. 2005"
"014502","13CH+","18","1*","Apr. 2010"
"014503","CD+","22","1*","Apr. 2010"
"014504","13CH+, v = 1 - 0 band","31","1*","May 2010"
"014505","CD+, v = 1 - 0 band","33","1*","May 2010"
"014506","N+","9","1*","Aug. 2010"
"015501","NH","1948","1","May 2004"
"015502","13CD+","21","1*","Apr. 2010"
"015503","14CH+","13","1*","Apr. 2010"
"015504","CT+","17","1*","Apr. 2010"
"016501","NH2","18513","2","Oct. 2001"
"016502","ND","2020","1","Feb. 2004"
"016503","CH2D+","379","4*","Sep. 2016"
"016504","O","2","1*","Aug. 2010"
"016505","15NH","334","1*","Aug. 2018"
"017501","OH+","430","2*","Jan. 2016"
"017502","OH-","19","2*","Sep. 2014"
"017503","CH3D","211","3*","Aug. 2018"
"017504","15NH2","2437","1*","May 2016"
"017505","CHD2+","593","1*","Feb. 2018"
"017506","NH3, v = 0","346","1*","Dec. 2020"
"017507","OH, v = 0","1028","1*","Feb. 2023"
"017508","OH, v = 1","831","1*","Feb. 2023"
"017509","OH, v = 2","722","1*","Feb. 2023"
"018501","NH2D","3343","1","May 2004"
"018502","OD-","22","1*","Dec. 2006"
"018503","15NH3","607","2*","Nov 2011"
"018504","13CH3D","84","1*","June 2009"
"018505","H2O+","2892","2*","Feb. 2017"
"018506","OD+","99","1*","May. 2012"
"018507","18O","2","1*","May 2020"
"019501","NHD2","5000","3*","May 2011"
"019502","18OH-","16","1*","Dec. 2006"
"019503","H3O+","273","1*","Oct. 2007"
"019504","15NH2D","2916","1*","Sep. 2008"
"019505","18OH+","75","1*","May. 2012"
